[Sun Aug 17 13:11:17.864965 2014] [:error] [pid 4362] [client 127.0.0.1:48349] PHP Fatal error:  Class 'Way\\Generators\\GeneratorsServiceProvider' not found in /home/nightzpy/proyectos/web/presentatenlaweb/bootstrap/compiled.php on line 4415
[Sun Aug 17 13:14:40.991676 2014] [:error] [pid 4318] [client 127.0.0.1:48365] PHP Fatal error:  Class 'Way\\Generators\\GeneratorsServiceProvider' not found in /home/nightzpy/proyectos/web/presentatenlaweb/bootstrap/compiled.php on line 4415
[Sun Aug 17 21:03:42.984805 2014] [:error] [pid 20205] [client 127.0.0.1:52342] PHP Parse error:  syntax error, unexpected '" alt="' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ';' in /home/nightzpy/proyectos/web/presentatenlaweb/app/storage/views/e6938f1a06535d2abcfdd1bf6bc98476 on line 113
[Sun Aug 24 01:17:54.020200 2014] [:error] [pid 2920] [client 127.0.0.1:40330] PHP Parse error:  syntax error, unexpected ')' in /home/nightzpy/proyectos/web/presentatenlaweb/app/storage/views/247511c496a82e76447a42fbe9c44079 on line 128
[Sun Aug 24 01:58:15.274962 2014] [:error] [pid 2991] [client 127.0.0.1:40571] PHP Parse error:  syntax error, unexpected ';' in /home/nightzpy/proyectos/web/presentatenlaweb/app/storage/views/247511c496a82e76447a42fbe9c44079 on line 159
[Sun Aug 24 14:15:14.152592 2014] [:error] [pid 4035] [client 127.0.0.1:40901] PHP Parse error:  syntax error, unexpected '"You_can_add_delete_any_langua' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/caracteristicas.php on line 85
[Sun Aug 24 15:45:16.212442 2014] [:error] [pid 4035] [client 127.0.0.1:41215] PHP Fatal error:  Call to undefined function tran() in /home/nightzpy/proyectos/web/presentatenlaweb/app/storage/views/247511c496a82e76447a42fbe9c44079 on line 241
[Sun Aug 24 16:08:54.598532 2014] [:error] [pid 5120] [client 127.0.0.1:41314] PHP Parse error:  syntax error, unexpected ';' in /home/nightzpy/proyectos/web/presentatenlaweb/app/routes.php on line 78
[Sun Aug 24 16:10:05.568943 2014] [:error] [pid 4035] [client 127.0.0.1:41325] PHP Parse error:  syntax error, unexpected ';' in /home/nightzpy/proyectos/web/presentatenlaweb/app/routes.php on line 78
[Sun Aug 24 16:10:19.084530 2014] [:error] [pid 4195] [client 127.0.0.1:41335] PHP Parse error:  syntax error, unexpected ';' in /home/nightzpy/proyectos/web/presentatenlaweb/app/routes.php on line 78
[Sun Aug 24 16:11:02.278139 2014] [:error] [pid 4911] [client 127.0.0.1:41340] PHP Parse error:  syntax error, unexpected ';' in /home/nightzpy/proyectos/web/presentatenlaweb/app/routes.php on line 78
